word,fr,it,es,de,pl,cs,category
kiwi,kiwi,kiwi,kiwi,Kiwi,kiwi,kiwi,fruits
ackee,acké,ackee,ackee,ackee,aki,ackee,fruits
calamondin,calamondin,calamondino,calamondín,Abonnieren,kalamondyna,calamondin,fruits
apricot,abricot,albicocca,albaricoque,Aprikose,morela,meruňka,fruits
pomegranate,grenade,melograno,granada,Granatapfel,granat,granátové jablko,fruits
redcurrant,groseille rouge,ribes rosso,grosella roja,rote Johannisbeere,porzeczka czerwona,červený rybíz,fruits
kumquat,kumquat,kumquat,naranja china,Kumquat,kumkwat,kumquat,fruits
mandarin,mandarin,mandarino,mandarín,Mandarin,mandarynka,mandarinka,fruits
chestnut,châtaigne,castagno,castaña,Kastanie,kasztan,kaštan,fruits
cherimoya,chérimole,cherimoya,chirimoya,Cherimoya-Pflanze,czerymoja,cherimoya,fruits
gooseberry,groseille,uva spina,Grosella,Stachelbeere,agrest,angrešt,fruits
lime,citron vert,lime,cal,Kalk,wapno,vápno,fruits
watermelon,pastèque,anguria,sandía,Wassermelone,arbuz,vodní meloun,fruits
nectarine,nectarine,nettarina,nectarina,Nektarine,nektarowy,nektarinka,fruits
grapefruit,pamplemousse,pompelmo,pomelo,Grapefruit,grejpfrut,grapefruit,fruits
plum,prune,prugna,ciruela,Pflaume,śliwka,švestka,fruits
tamarind,tamarin,tamarindo,tamarindo,Tamarinde,tamaryndowiec,tamarind,fruits
damson,prune,susina selvatica,ciruela damascena,Zwetschge,damaszka,damson,fruits
babaco,babaco,babbo natale,babaco,Abonnieren,babako,babaco,fruits
